1,Time Warner (WB/New Line),17.80%,1666.7,53,42
2,Disney,16.30%,1527.3,48,33
3,Sony,14.70%,1378.6,53,39
4,News Corporation (Fox),11.80%,1102.9,29,24
5,NBC/Universal,10.90%,1018.6,29,21
6,DreamWorks SKG,10.00%,937.1,11,10
7,Viacom (Paramount),6.80%,634.6,27,23
8,Newmarket,4.30%,406.7,8,7
9,Lionsgate,3.20%,302.1,21,18
10,MGM/UA,2.10%,198.9,19,15
11,Dimension Films,0.20%,20.8,4,1
12,Giant Screen Films,0.20%,16.6,2,0
13,IMAX,0.20%,15,7,1
14,IDP,0.20%,14.6,11,9
15,Alliance,0.20%,14.1,10,8
16,Magnolia,0.10%,10.5,10,10
17,Captured Light Distribution,0.10%,10,1,1
18,SK Films,0.10%,9.7,1,0
19,Triumph,0.10%,9.2,1,1
20,IFC,0.10%,8.2,10,10
21,ThinkFilm,0.10%,7,13,11
22,Christal Films,0.10%,6.4,8,7
23,Televisa Cine,0.00%,4.2,1,1
24,Yash Raj,0.00%,4,4,3
25,Mulberry Square,0.00%,3.8,1,1
26,Eros,0.00%,3.3,8,7
27,New Yorker,0.00%,2.9,9,5
28,Wellspring,0.00%,2.8,14,11
29,Film Foundry,0.00%,2.7,1,1
30,N Wave,0.00%,2.6,3,0
31,Odeon,0.00%,2.6,3,1
32,TVA,0.00%,2.6,3,2
33,Excel,0.00%,2.5,3,2
34,Zeitgeist,0.00%,2.4,7,7
35,UTV Communications,0.00%,1.8,3,3
36,Luke Films,0.00%,1.8,1,1
37,Mongrel Media,0.00%,1.6,1,1
38,Halestorm,0.00%,1.5,3,3
39,Rialto,0.00%,1.3,4,3
40,Innovation Film Group,0.00%,1.3,8,7
41,Arenas Entertainment,0.00%,1.1,2,2
42,Zee TV,0.00%,1,2,2
43,TLA Releasing,0.00%,0.998,7,6
44,Kino,0.00%,0.915,10,8
45,Empire,0.00%,0.856,8,5
46,Regent Releasing,0.00%,0.82,8,8
47,Strand,0.00%,0.725,22,15
48,Cinema Libre Studio,0.00%,0.723,3,3
49,Rainbow Releasing,0.00%,0.654,2,1
50,Mormon Movies,0.00%,0.556,1,0
51,P & A Releasing,0.00%,0.527,1,1
52,Palm,0.00%,0.506,16,12
53,First Run,0.00%,0.477,17,11
54,Vitagraph,0.00%,0.447,6,5
55,Net Effect,0.00%,0.425,2,2
56,Artistic License,0.00%,0.406,5,3
57,Shadow Dist.,0.00%,0.396,4,0
58,Indican,0.00%,0.376,8,5
59,MAC Releasing,0.00%,0.352,2,2
60,Dada Films,0.00%,0.348,2,2
61,Seville,0.00%,0.336,2,2
62,First Look,0.00%,0.305,4,3
63,Cinema Service,0.00%,0.298,1,1
64,Slugger Pictures,0.00%,0.295,1,1
65,Emerging Pictures,0.00%,0.275,2,2
66,Shakey,0.00%,0.256,1,1
67,Tartan,0.00%,0.248,4,4
68,Menemsha,0.00%,0.237,1,0
69,Wild Rose,0.00%,0.235,1,1
70,Cinema Libre,0.00%,0.213,1,1
71,Unico Entertainment,0.00%,0.201,1,1
72,RBC Radio,0.00%,0.193,1,1
73,Lantern Lane,0.00%,0.185,2,2
74,Koch Lorber Films,0.00%,0.166,1,1
75,Cinema Guild,0.00%,0.161,3,3
76,Gatekeeper,0.00%,0.147,1,0
77,Unitel Pictures,0.00%,0.133,1,1
78,Pak Films / Shotwell Media,0.00%,0.131,1,1
79,7th Art,0.00%,0.111,1,1
80,Non-Fiction Films,0.00%,0.111,1,1
81,Slowhand Cinema,0.00%,0.109,1,1
82,Panorama,0.00%,0.106,3,2
83,Rainbow Films,0.00%,0.0983,1,1
84,Northern Arts,0.00%,0.0952,2,2
85,Citizens United,0.00%,0.093,1,1
86,Wolfe Releasing,0.00%,0.0846,3,3
87,Picture This!,0.00%,0.0846,3,3
88,Norador Productions,0.00%,0.0829,1,1
89,Painted Zebra Releasing,0.00%,0.0813,1,1
90,K Film,0.00%,0.08,1,1
91,Sister Films,0.00%,0.0798,1,0
92,Cristal,0.00%,0.0787,1,1
93,Every Tribe,0.00%,0.0674,1,1
94,Castle Hill,0.00%,0.0663,3,2
95,Abramorama,0.00%,0.0655,2,2
96,Mela Films,0.00%,0.0649,1,1
97,Icarus Films,0.00%,0.0634,3,3
98,Animation Show,0.00%,0.0622,1,0
99,Pathfinder,0.00%,0.0582,1,1
100,Artmattan Prods.,0.00%,0.0554,4,3
101,ISA Releasing,0.00%,0.0443,1,1
102,Jujitsu Films,0.00%,0.0399,1,1
103,Echelon Ent.,0.00%,0.0376,3,3
104,Avatar,0.00%,0.0355,3,3
105,Small Planet,0.00%,0.031,2,2
106,Zion,0.00%,0.0298,2,2
107,Screen Media,0.00%,0.0283,3,3
108,Organic Pictures,0.00%,0.0272,2,2
109,Artrution,0.00%,0.0253,1,1
110,RKO,0.00%,0.025,1,1
111,Magic Lamp,0.00%,0.0216,1,1
112,Sag Harbor Basement,0.00%,0.0204,1,1
113,Spit N' Glue,0.00%,0.0194,1,0
114,Small Island,0.00%,0.0167,1,0
115,Slamdance on the Road,0.00%,0.0163,1,1
116,Palo Alto Pictures,0.00%,0.0157,1,1
117,Hannover House,0.00%,0.0152,1,1
118,Illuminare Entertainment,0.00%,0.0142,1,1
119,Cinema Four,0.00%,0.0139,3,3
