1,Time Warner (WB/New Line),19.70%,1896.1,46,32
2,Viacom (Paramount),17.30%,1664.7,30,23
3,Sony,13.60%,1308.3,47,39
4,NBC/Universal,13.10%,1257.1,29,25
5,News Corporation (Fox),12.80%,1229.1,33,26
6,Disney,11.40%,1093.3,29,21
7,Lionsgate,4.50%,436.8,19,19
8,Summit Entertainment,2.40%,226.5,5,5
9,MGM/UA,1.70%,160.8,18,12
10,Overture Films,1.10%,103.1,8,8
11,Weinstein Company,0.50%,48.8,10,7
12,Samuel Goldwyn,0.40%,41.5,7,7
13,National Geographic Entertainment,0.30%,24.2,2,1
14,Freestyle Releasing,0.20%,23.7,7,7
15,IMAX,0.10%,10.3,6,1
16,Magnolia,0.10%,9.9,23,23
17,Roadside Attractions,0.10%,8.3,14,11
18,Rocky Mountain Pictures,0.10%,8.1,2,2
19,Vivendi Entertainment,0.10%,7.5,2,2
20,Music Box Films,0.10%,6.5,4,4
21,UTV Communications,0.10%,6.5,8,7
22,ThinkFilm,0.10%,6.2,14,10
23,IFC,0.10%,6.1,31,29
24,3D Entertainment,0.10%,5.2,1,1
25,Eros,0.10%,5.1,10,10
26,Yash Raj,0.00%,4.8,6,6
27,First Look,0.00%,2.9,8,7
28,Studio 18,0.00%,2.2,1,1
29,Zeitgeist,0.00%,2,6,6
30,AdLabs,0.00%,1.9,2,2
31,Alliance,0.00%,1.7,6,5
32,Third Rail Releasing,0.00%,1.6,8,8
33,Strand,0.00%,1.5,12,8
34,Emerging Pictures,0.00%,0.999,14,12
35,Candlelight Media Group,0.00%,0.882,1,1
36,City Lights Pictures Releasing,0.00%,0.854,4,4
37,Crane Movie Company,0.00%,0.72,1,1
38,Kino,0.00%,0.663,12,12
39,Peace Arch Entertainment,0.00%,0.61,5,5
40,Abramorama,0.00%,0.597,5,4
41,First Run,0.00%,0.569,11,10
42,International Film Circuit,0.00%,0.551,3,2
43,Logo Features,0.00%,0.533,1,1
44,Regent Releasing,0.00%,0.521,30,25
45,Film Movement,0.00%,0.493,7,5
46,SenArt/Scranton-Lacy Films,0.00%,0.488,1,1
47,Rialto,0.00%,0.46,6,4
48,Maya Entertainment,0.00%,0.392,6,6
49,Slowhand Cinema,0.00%,0.374,3,3
50,Yari Film Group,0.00%,0.36,2,1
51,First Independent Pictures,0.00%,0.328,3,3
52,Oscilloscope Pictures,0.00%,0.321,5,5
53,Indican,0.00%,0.319,7,5
54,Cinema Guild,0.00%,0.318,5,5
55,Elephant Eye Films,0.00%,0.299,2,1
56,N Wave,0.00%,0.287,2,0
57,Super Chief Films,0.00%,0.251,1,1
58,Koch Lorber Films,0.00%,0.237,4,3
59,Anchor Bay Films,0.00%,0.229,7,7
60,Arenas Entertainment,0.00%,0.225,1,1
61,Redwood Palms Pictures,0.00%,0.224,1,1
62,Fair Trade Pictures,0.00%,0.208,1,1
63,Mitropoulos Films,0.00%,0.189,1,1
64,Shadow Dist.,0.00%,0.176,2,1
65,Truly Indie,0.00%,0.174,4,3
66,Image Entertainment,0.00%,0.173,1,1
67,Vitagraph,0.00%,0.167,3,3
68,Balcony Releasing,0.00%,0.16,6,4
69,Unknown,0.00%,0.159,6,6
70,Tentmakers Entertainment,0.00%,0.156,1,0
71,Outsider Pictures,0.00%,0.152,1,1
72,Dark Coast Pictures,0.00%,0.145,1,1
73,New Yorker,0.00%,0.137,6,5
74,Empire,0.00%,0.132,1,1
75,Screen Media,0.00%,0.13,4,4
76,Shemaroo,0.00%,0.114,1,1
77,"Monterey Media, Inc.",0.00%,0.109,5,4
78,TLA Releasing,0.00%,0.105,1,1
79,CAVU,0.00%,0.0967,2,2
80,Palm,0.00%,0.094,2,2
81,Typecast Releasing,0.00%,0.0897,1,1
82,Speak Productions,0.00%,0.0867,1,1
83,Cinema Libre,0.00%,0.0846,5,5
84,Cinema Libre Studio,0.00%,0.0846,5,5
85,Five & Two Pictures,0.00%,0.0841,1,1
86,Reel Diva Consultants,0.00%,0.0799,2,1
87,The Film Desk,0.00%,0.0786,3,3
88,Alluvial Film Company,0.00%,0.0776,1,1
89,Magic Lamp,0.00%,0.0744,1,1
90,Embrem Entertainment,0.00%,0.0726,1,1
91,Film Sales Company,0.00%,0.0717,1,1
92,Borotoro,0.00%,0.0696,1,0
93,Xenon Pictures,0.00%,0.0692,1,1
94,Stone Five Studios,0.00%,0.0677,1,1
95,Eleven Arts,0.00%,0.0609,1,1
96,InterPositive Media,0.00%,0.0603,1,1
97,Myriad Pictures,0.00%,0.0587,1,1
98,Priority Films,0.00%,0.0584,1,0
99,Sidetrack Films,0.00%,0.0564,1,1
100,Somerset Films,0.00%,0.0511,1,0
101,Janus Films,0.00%,0.0451,2,2
102,Waldo West Productions,0.00%,0.0439,1,1
103,Hannover House,0.00%,0.0422,1,1
104,Liberation Entertainment,0.00%,0.0342,3,3
105,Cavalier Films,0.00%,0.0311,1,1
106,Milestone,0.00%,0.0309,1,1
107,Variance Films,0.00%,0.0303,1,1
108,MCR Releasing,0.00%,0.0298,1,1
109,Icarus Films,0.00%,0.0288,3,1
110,Unison Films,0.00%,0.0223,1,1
111,New Love Films,0.00%,0.0208,1,0
112,Laemmle / Zeller Films,0.00%,0.0204,1,1
113,Reel Source,0.00%,0.0197,1,1
114,Menemsha,0.00%,0.0193,1,1
115,Arts Alliance America,0.00%,0.0186,2,2
116,North American Film Theatrical Corp,0.00%,0.0172,1,1
117,"David & Layla, LLC",0.00%,0.0152,1,0
118,Anywhere Road,0.00%,0.0143,1,1
119,Troma,0.00%,0.0138,1,1
