1,Disney,26.30%,3000.9,16,13,,,
2,Time Warner (WB/New Line),16.70%,1902.2,35,23,,,
3,NBC/Universal,14.10%,1604.9,38,33,,,
4,News Corporation (Fox),13.30%,1520.2,29,21,,,
5,Sony,8.30%,943.5,47,37,,,
6,Viacom (Paramount),7.70%,876.8,18,15,,,
7,Lionsgate,5.80%,665,27,24,,,
8,STX Entertainment,1.70%,195.6,7,6,,,
9,Open Road Films,0.90%,107,8,7,,,
10,Roadside Attractions,0.70%,75.7,11,10,,,
11,A24,0.60%,65.8,20,18,,,
12,Weinstein Company,0.60%,64.9,11,7,,,
13,Broad Green Pictures,0.30%,37.1,6,6,,,
14,Bleecker Street,0.30%,33.8,7,6,,,
15,EuropaCorp,0.30%,30.1,3,3,,,
16,Pure Flix,0.20%,25.3,4,3,,,
17,Relativity,0.20%,19.8,2,2,,,
18,High Top Releasing,0.10%,15.6,3,3,,,
19,IFC,0.10%,13.6,22,21,,,
20,Quality Flix,0.10%,13.1,1,1,,,
21,Gramercy,0.10%,12.7,1,1,,,
22,UTV Communications,0.10%,11.3,7,6,,,
23,Freestyle Releasing,0.10%,11,8,7,,,
24,FIP,0.10%,10.7,6,6,,,
25,Imax,0.10%,10.4,6,0,,,
26,Yash Raj,0.10%,9,3,3,,,
27,Well Go USA,0.10%,8.5,13,12,,,
28,The Orchard,0.10%,7.4,13,13,,,
29,Eros,0.10%,7.4,14,13,,,
30,Magnolia,0.10%,6.6,31,28,,,
31,Fathom,0.00%,5.5,2,2,,,
32,Music Box Films,0.00%,5.4,13,11,,,
33,China Lion,0.00%,4.6,15,13,,,
34,The Film Arcade,0.00%,4.4,2,2,,,
35,CineGalaxy,0.00%,4.4,3,3,,,
36,Drafthouse,0.00%,4.2,7,6,,,
37,Reliance Big Pictures,0.00%,3.5,2,2,,,
38,Abramorama,0.00%,3.3,10,9,,,
39,Blue SKy Cinema,0.00%,3.1,2,2,,,
40,CJ Entertainment,0.00%,3,16,15,,,
41,Shorts International,0.00%,2.8,1,1,,,
42,FUNimation Films,0.00%,2.6,5,5,,,
43,Strasson Group,0.00%,2.3,1,0,,,
44,Cohen Media Group,0.00%,2.1,13,11,,,
45,Hammond,0.00%,2,1,1,,,
46,Oscilloscope Pictures,0.00%,1.9,10,9,,,
47,Kino Lorber,0.00%,1.5,38,28,,,
48,Entertainment One,0.00%,1.5,4,3,,,
49,FilmRise,0.00%,1.2,13,12,,,
50,Cinema Libre Studio,0.00%,1.2,2,2,,,
51,Cinema Libre,0.00%,1.2,2,2,,,
