Year,Rank,Movie title,Studio,Gross,Type,Total
2016,1,Rogue One: A Star Wars Story,BV,527991468,Star Wars,2861374330
2016,2,Finding Dory,BV,486295561,Pixar,2861374330
2016,3,Captain America: Civil War,BV,408084349,Marvel,2861374330
2016,4,The Jungle Book (2016),BV,364001123,Other,2861374330
2016,5,Zootopia,BV,341268248,Disney Animation,2861374330
2016,6,Moana,BV,243694962,Disney Animation,2861374330
2016,7,Doctor Strange,BV,232290391,Marvel,2861374330
2016,8,Alice Through the Looking Glass,BV,77041381,Other,2861374330
2016,9,Pete's Dragon (2016),BV,76233151,Other,2861374330
2016,10,The BFG,BV,55483770,Other,2861374330
2016,11,The Finest Hours,BV,27569558,Other,2861374330
2016,12,The Light Between Oceans,BV,12545979,Other,2861374330
2016,13,Queen of Katwe,BV,8874389,Other,2861374330
2015,1,Star Wars: The Force Awakens,BV,936662225,Star Wars,2495664831
2015,2,Avengers: Age of Ultron,BV,459005868,Marvel,2495664831
2015,3,Inside Out,BV,356461711,Disney Animation,2495664831
2015,4,Cinderella (2015),BV,201151353,Other,2495664831
2015,5,Ant-Man,BV,180202163,Marvel,2495664831
2015,6,The Good Dinosaur,BV,123087120,Disney Animation,2495664831
2015,7,Tomorrowland,BV,93436322,Other,2495664831
2015,8,Bridge of Spies,BV,72313754,Other,2495664831
2015,9,"McFarland, USA",BV,44482410,Other,2495664831
2015,10,Monkey Kingdom,BV,16432322,Other,2495664831
2015,11,Strange Magic,BV,12429583,Other,2495664831
2014,1,Guardians of the Galaxy,BV,333176600,Marvel,1519452657
2014,2,Captain America: The Winter Soldier,BV,259766572,Marvel,1519452657
2014,3,Maleficent,BV,241410378,Other,1519452657
2014,4,Big Hero 6,BV,222527828,Disney Animation,1519452657
2014,5,Into the Woods,BV,128002372,Other,1519452657
2014,6,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,66954149,Other,1519452657
2014,7,Planes: Fire & Rescue,BV,59165787,Other,1519452657
2014,8,The Hundred-Foot Journey,BV,54240821,Other,1519452657
2014,9,Muppets Most Wanted,BV,51183113,Other,1519452657
2014,10,Need for Speed,BV,43577636,Other,1519452657
2014,11,Million Dollar Arm,BV,36457627,Other,1519452657
2014,12,Bears,BV,17780194,Other,1519452657
2014,13,The Wind Rises,BV,5209580,Other,1519452657
2013,1,Iron Man 3,BV,409013994,Marvel,1816330253
2013,2,Frozen,BV,400738009,Disney Animation,1816330253
2013,3,Monsters University,BV,268492764,Pixar,1816330253
2013,4,Oz The Great and Powerful,BV,234911825,Other,1816330253
2013,5,Thor: The Dark World,BV,206362140,Marvel,1816330253
2013,6,Planes,BV,90288712,Other,1816330253
2013,7,The Lone Ranger,BV,89302115,Other,1816330253
2013,8,Saving Mr. Banks,BV,83301580,Other,1816330253
2013,9,Delivery Man,BV,30664106,Other,1816330253
2013,10,The Fifth Estate,BV,3255008,Other,1816330253
2012,1,Marvel's The Avengers,BV,623357910,Marvel,1575894663
2012,2,Brave,BV,237283207,Pixar,1575894663
2012,3,Wreck-It Ralph,BV,189422889,Disney Animation,1575894663
2012,4,Lincoln,BV,182207973,Other,1575894663
2012,5,John Carter,BV,73078100,Other,1575894663
2012,6,The Odd Life of Timothy Green,BV,51854875,Other,1575894663
2012,7,Beauty and the Beast (3D),BV,47617067,Other,1575894663
2012,8,Finding Nemo (3D),BV,41128283,Other,1575894663
2012,9,Frankenweenie,BV,35291068,Other,1575894663
2012,10,"Monsters, Inc. (3D)",BV,34043006,Other,1575894663
2012,11,Chimpanzee,BV,28972764,Other,1575894663
2012,12,The Secret World of Arrietty,BV,19202743,Other,1575894663
2012,13,People Like Us,BV,12434778,Other,1575894663
2011,1,Pirates of the Caribbean: On Stranger Tides,BV,241071802,Pirates of the Caribbean,1197474219
2011,2,Cars 2,BV,191452396,Pixar,1197474219
2011,3,The Help,BV,169708112,Other,1197474219
2011,4,Gnomeo and Juliet,BV,99967670,Other,1197474219
2011,5,The Lion King (in 3D),BV,94242001,Other,1197474219
2011,6,The Muppets,BV,88631237,Other,1197474219
2011,7,Real Steel,BV,85468508,Other,1197474219
2011,8,War Horse,BV,79884879,Other,1197474219
2011,9,I Am Number Four,BV,55100437,Other,1197474219
2011,10,Winnie the Pooh,BV,26692846,Other,1197474219
2011,11,Mars Needs Moms,BV,21392758,Other,1197474219
2011,12,Fright Night (2011),BV,18302607,Other,1197474219
2011,13,African Cats,BV,15428747,Other,1197474219
2011,14,Prom,BV,10130219,Other,1197474219
2010,1,Toy Story 3,BV,415004880,Pixar,1547047494
2010,2,Alice in Wonderland (2010),BV,334191110,Other,1547047494
2010,3,Tangled,BV,200821936,Disney Animation,1547047494
2010,4,Tron Legacy,BV,172062763,Other,1547047494
2010,5,Prince of Persia: The Sands of Time,BV,90759676,Other,1547047494
2010,6,The Sorcerer's Apprentice,BV,63150991,Other,1547047494
2010,7,The Last Song,BV,62950384,Other,1547047494
2010,8,Secretariat,BV,59713955,Other,1547047494
2010,9,Step Up 3-D,BV,42400223,Other,1547047494
2010,10,When in Rome,BV,32680633,Other,1547047494
2010,11,The Switch,Mira.,27779426,Other,1547047494
2010,12,You Again,BV,25702053,Other,1547047494
2010,13,Oceans,BV,19422319,Other,1547047494
2010,14,The Tempest,Mira.,277943,Other,1547047494
2010,15,Waking Sleeping Beauty,BV,80741,Other,1547047494
2010,16,Tales from Earthsea,BV,48461,Other,1547047494
